,agency_name,county_name,ori
0,Bayonne Police Department,HUDSON,NJ0090100
1,Orange Police Department,ESSEX,NJ0071700
2,Long Beach Township Police Department,OCEAN,NJ0151700
3,Midland Park Police Department,BERGEN,NJ0023500
4,Saddle River Police Department,BERGEN,NJ0025800
5,East Rutherford Police Department,BERGEN,NJ0021200
6,East Greenwich Township Police Department,GLOUCESTER,NJ0080300
7,Pitman Police Department,GLOUCESTER,NJ0081500
8,Mendham Township Police Department,MORRIS,NJ0141900
9,State Police: Middlesex County,MIDDLESEX,NJ012SP00
10,Haledon Police Department,PASSAIC,NJ0160300
11,Linwood Police Department,ATLANTIC,NJ0011400
12,Medford Township Police Department,BURLINGTON,NJ0032100
13,State Police: Camden County,CAMDEN,NJ004SP00
14,Hillsborough Township Police Department,SOMERSET,NJ0181000
15,Tewksbury Township Police Department,HUNTERDON,NJ0102400
16,Rutgers University: New Brunswick,MIDDLESEX,NJ0123000
17,East Orange Police Department,ESSEX,NJ0070600
18,South Toms River Police Department,OCEAN,NJ0152900
19,Brick Township Police Department,OCEAN,NJ0150600
20,Paramus Police Department,BERGEN,NJ0024600
21,Wood-Ridge Police Department,BERGEN,NJ0026900
22,Prosecutor: Sussex County,SUSSEX,NJ0198900
23,Hackensack Police Department,BERGEN,NJ0022300
24,Salem Police Department,SALEM,NJ0171200
25,Bergen County Sheriff's Office,BERGEN,NJ0020000
26,Somerdale Police Department,CAMDEN,NJ0043100
27,Elk Township Police Department,GLOUCESTER,NJ0080400
28,Red Bank Police Department,MONMOUTH,NJ0134000
29,Denville Township Police Department,MORRIS,NJ0140800
30,Wayne Township Police Department,PASSAIC,NJ0161400
31,State Police: Sussex County,SUSSEX,NJ019SP00
32,Atlantic City Police Department,ATLANTIC,NJ0010200
33,Delran Township Police Department,BURLINGTON,NJ0031000
34,Brielle Police Department,MONMOUTH,NJ0130900
35,Monmouth University,MONMOUTH,NJ013559E
36,Nutley Township Police Department,ESSEX,NJ0071600
37,Prosecutor: Camden County,CAMDEN,NJ0048900
38,Hudson County Sheriff's Office,HUDSON,NJ0090000
39,Sea Isle City Police Department,CAPE MAY,NJ0050900
40,South Hackensack Township Police Department,BERGEN,NJ0025900
41,Montvale Police Department,BERGEN,NJ0023600
42,Edgewater Police Department,BERGEN,NJ0021300
43,Little Egg Harbor Township Police Department,OCEAN,NJ0151600
44,Elmer Police Department,SALEM,NJ0170200
45,Deptford Township Police Department,GLOUCESTER,NJ0080200
46,Laurel Springs Police Department,CAMDEN,NJ0042000
47,Union Beach Police Department,MONMOUTH,NJ0135000
48,Mendham Police Department,MORRIS,NJ0141800
49,Prosecutor: Mercer County,MERCER,NJ0118900
50,Hawthorne Police Department,PASSAIC,NJ0160400
51,Longport Police Department,ATLANTIC,NJ0011500
52,"Fairfield Township, Essex County Police Department",ESSEX,NJ0070400
53,Medford Lakes Police Department,BURLINGTON,NJ0032200
54,Manville Police Department,SOMERSET,NJ0181100
55,West New York Police Department,HUDSON,NJ0091200
56,Montclair State University,ESSEX,NJ0072800
57,Cedar Grove Township Police Department,ESSEX,NJ0070500
58,Park Ridge Police Department,BERGEN,NJ0024700
59,Harrington Park Police Department,BERGEN,NJ0022400
60,Ship Bottom Police Department,OCEAN,NJ0152800
61,Berkeley Township Police Department,OCEAN,NJ0150500
62,Carney's Point Township Police Department,SALEM,NJ0171300
63,Allendale Police Department,BERGEN,NJ0020100
64,Stratford Police Department,CAMDEN,NJ0043200
65,Paulsboro Police Department,GLOUCESTER,NJ0081400
66,Rowan University,GLOUCESTER,NJ0082600
67,Chester Township Police Department,MORRIS,NJ0140700
68,West Milford Township Police Department,PASSAIC,NJ0161500
69,Brigantine Police Department,ATLANTIC,NJ0010300
70,State Police: Union County,UNION,NJ020SP00
71,Eastampton Township Police Department,BURLINGTON,NJ0031100
72,Somerset County Sheriff's Office,SOMERSET,NJ0180000
73,South Brunswick Township Police Department,MIDDLESEX,NJ0122100
74,Emerson Police Department,BERGEN,NJ0021400
75,"Franklin Township, Hunterdon County Police Department",HUNTERDON,NJ0101000
76,Ocean City Police Department,CAPE MAY,NJ0050800
77,Moonachie Police Department,BERGEN,NJ0023700
78,Elsinboro Township Police Department,SALEM,NJ0170300
79,Hackettstown Police Department,WARREN,NJ0210800
80,Clayton Police Department,GLOUCESTER,NJ0080100
81,Woolwich Township Police Department,GLOUCESTER,NJ0082400
82,Lawnside Police Department,CAMDEN,NJ0042100
83,Moorestown Township Police Department,BURLINGTON,NJ0032300
84,West Long Branch Police Department,MONMOUTH,NJ0135300
85,Margate City Police Department,ATLANTIC,NJ0011600
86,Little Falls Township Police Department,PASSAIC,NJ0160500
87,Mercer County Sheriff's Office,MERCER,NJ0110000
88,State Police,N/A,NJNSP2200
89,Caldwell Police Department,ESSEX,NJ0070300
90,State Police: Monmouth County,MONMOUTH,NJ013SP00
91,Burlington County Sheriff's Office,BURLINGTON,NJ0030000
92,Tavistock Police Department,CAMDEN,NJ0043300
93,Weehawken Township Police Department,HUDSON,NJ0091100
94,New Jersey Institute of Technology,ESSEX,NJ0072700
95,Alpine Police Department,BERGEN,NJ0020200
96,Hasbrouck Heights Police Department,BERGEN,NJ0022500
97,Readington Township Police Department,HUNTERDON,NJ0102200
98,Ramsey Police Department,BERGEN,NJ0024800
99,Vernon Township Police Department,SUSSEX,NJ0192200
100,Aberdeen Township Police Department,MONMOUTH,NJ0133000
101,Newfield Police Department,GLOUCESTER,NJ0081300
102,Clementon Police Department,CAMDEN,NJ0041000
103,Springfield Township Police Department,BURLINGTON,NJ0033500
104,Edgewater Park Township Police Department,BURLINGTON,NJ0031200
105,Rumson Police Department,MONMOUTH,NJ0134200
106,Buena Police Department,ATLANTIC,NJ0010400
107,Trenton Police Department,MERCER,NJ0111100
108,Woodland Park Police Department,PASSAIC,NJ0161600
109,Bedminster Township Police Department,SOMERSET,NJ0180100
110,North Caldwell Police Department,ESSEX,NJ0071500
111,Lindenwold Police Department,CAMDEN,NJ0042200
112,Prosecutor: Middlesex County,MIDDLESEX,NJ0128900
113,South Amboy Police Department,MIDDLESEX,NJ0122000
114,Manchester Township Police Department,OCEAN,NJ0151800
115,North Wildwood Police Department,CAPE MAY,NJ0050700
116,New Milford Police Department,BERGEN,NJ0023800
117,Englewood Police Department,BERGEN,NJ0021500
118,Frenchtown Police Department,HUNTERDON,NJ0101100
119,Lower Alloways Creek Township Police Department,SALEM,NJ0170400
120,Dover Police Department,MORRIS,NJ0140900
121,Woodbury Heights Police Department,GLOUCESTER,NJ0082300
122,Gloucester County Sheriff's Office,GLOUCESTER,NJ0080000
123,"Greenwich Township, Warren County Police Department",WARREN,NJ0210700
124,Palisades Interstate Parkway,BERGEN,NJNPIPP00
125,Hardyston Township Police Department,SUSSEX,NJ0191100
126,Linden Police Department,UNION,NJ0200900
127,Wall Township Police Department,MONMOUTH,NJ0135200
128,Mount Holly Township Police Department,BURLINGTON,NJ0032400
129,Mullica Township Police Department,ATLANTIC,NJ0011700
130,North Haledon Police Department,PASSAIC,NJ0160600
131,Montgomery Township Police Department,SOMERSET,NJ0181300
132,Bloomfield Police Department,ESSEX,NJ0070200
133,Voorhees Township Police Department,CAMDEN,NJ0043400
134,Collingswood Police Department,CAMDEN,NJ0041100
135,Union City Police Department,HUDSON,NJ0091000
136,Bergenfield Police Department,BERGEN,NJ0020300
137,Toms River Township Police Department,OCEAN,NJ0150700
138,Ridgefield Police Department,BERGEN,NJ0024900
139,Haworth Police Department,BERGEN,NJ0022600
140,Hunterdon County Sheriff's Office,HUNTERDON,NJ0100000
141,Woodstown Police Department,SALEM,NJ0171500
142,Phillipsburg Police Department,WARREN,NJ0211900
143,National Park Police Department,GLOUCESTER,NJ0081200
144,Sussex County Sheriff's Office,SUSSEX,NJ0190000
145,Princeton  Police Department,MERCER,NJ0111000
146,Evesham Township Police Department,BURLINGTON,NJ0031300
147,William Paterson University,PASSAIC,NJ0161700
148,Bernards Township Police Department,SOMERSET,NJ0180200
149,Middle Township Police Department,CAPE MAY,NJ0050600
150,Mantoloking Police Department,OCEAN,NJ0151900
151,Magnolia Police Department,CAMDEN,NJ0042300
152,North Arlington Police Department,BERGEN,NJ0023900
153,Middlesex County Sheriff's Office,MIDDLESEX,NJ0120000
154,South River Police Department,MIDDLESEX,NJ0122300
155,Englewood Cliffs Police Department,BERGEN,NJ0021600
156,Pennsville Township Police Department,SALEM,NJ0170500
157,State Police: Morris County,MORRIS,NJ014SP00
158,Washington Police Department,WARREN,NJ0212100
159,Keansburg Police Department,MONMOUTH,NJ0132100
160,Woodbury Police Department,GLOUCESTER,NJ0082200
161,Hopatcong Police Department,SUSSEX,NJ0191200
162,Camden County Sheriff's Office,CAMDEN,NJ0040000
163,Mount Laurel Township Police Department,BURLINGTON,NJ0032500
164,Beverly Police Department,BURLINGTON,NJ0030200
165,Northfield Police Department,ATLANTIC,NJ0011800
166,Ewing Township Police Department,MERCER,NJ0110200
167,Long Hill Township Police Department,MORRIS,NJ0143000
168,Union County Sheriff's Office,UNION,NJ0200000
169,North Plainfield Police Department,SOMERSET,NJ0181400
170,Belleville Police Department,ESSEX,NJ0070100
171,Cherry Hill Township Police Department,CAMDEN,NJ0041200
172,Bogota Police Department,BERGEN,NJ0020400
173,Waterford Township Police Department,CAMDEN,NJ0043500
174,Middlesex Police Department,MIDDLESEX,NJ0121100
175,Hillsdale Police Department,BERGEN,NJ0022700
176,Passaic Police Department,PASSAIC,NJ0160700
177,Clinton Police Department,HUNTERDON,NJ0100500
178,Monroe Township Police Department,GLOUCESTER,NJ0081100
179,Fieldsboro Police Department,BURLINGTON,NJ0031400
180,Stevens Institute of Technology,HUDSON,NJ009149E
181,West Windsor Township Police Department,MERCER,NJ0111300
182,Sea Girt Police Department,MONMOUTH,NJ0134400
183,Lower Township Police Department,CAPE MAY,NJ0050500
184,Plainfield Police Department,UNION,NJ0201200
185,Bernardsville Police Department,SOMERSET,NJ0180300
186,Montclair Police Department,ESSEX,NJ0071300
187,Fair Lawn Police Department,BERGEN,NJ0021700
188,Merchantville Police Department,CAMDEN,NJ0042400
189,South Plainfield Police Department,MIDDLESEX,NJ0122200
190,Pohatcong Township Police Department,WARREN,NJ0212000
191,Vineland Police Department,CUMBERLAND,NJ0061400
192,Westville Police Department,GLOUCESTER,NJ0082100
193,Interlaken Police Department,MONMOUTH,NJ0132000
194,Lambertville Police Department,HUNTERDON,NJ0101700
195,Audubon Police Department,CAMDEN,NJ0040100
196,Prosecutor: Warren County,WARREN,NJ0218900
197,New Hanover Township Police Department,BURLINGTON,NJ0032600
198,Wyckoff Township Police Department,BERGEN,NJ0027000
199,Bordentown Police Department,BURLINGTON,NJ0030300
200,Pleasantville Police Department,ATLANTIC,NJ0011900
201,State Park Police,N/A,NJ0225400
202,East Windsor Township Police Department,MERCER,NJ0110100
203,Essex County Sheriff's Office,ESSEX,NJ0070000
204,Peapack and Gladstone Police Department,SOMERSET,NJ0181500
205,Harvey Cedars Police Department,OCEAN,NJ0150900
206,Ho-Ho-Kus Police Department,BERGEN,NJ0022800
207,Carlstadt Police Department,BERGEN,NJ0020500
208,Winslow Township Police Department,CAMDEN,NJ0043600
209,Gibbsboro Police Department,CAMDEN,NJ0041300
210,Metuchen Police Department,MIDDLESEX,NJ0121000
211,Raritan Police Department,SOMERSET,NJ0181600
212,Paterson Police Department,PASSAIC,NJ0160800
213,Middletown Township Police Department,MONMOUTH,NJ0133100
214,Mantua Township Police Department,GLOUCESTER,NJ0081000
215,Andover Township Police Department,SUSSEX,NJ0190200
216,Clinton Township Police Department,HUNTERDON,NJ0100600
217,Florence Township Police Department,BURLINGTON,NJ0031500
218,Egg Harbor City Police Department,ATLANTIC,NJ0010700
219,Prosecutor: Monmouth County,MONMOUTH,NJ0138900
220,Sea Bright Police Department,MONMOUTH,NJ0134300
221,Robbinsville Township Police Department,MERCER,NJ0111200
222,Westampton Township Police Department,BURLINGTON,NJ0033800
223,Bound Brook Police Department,SOMERSET,NJ0180400
224,New Providence Police Department,UNION,NJ0201100
225,Prosecutor: Hudson County,HUDSON,NJ0098900
226,Millburn Township Police Department,ESSEX,NJ0071200
227,Fairview Police Department,BERGEN,NJ0021800
228,High Bridge Police Department,HUNTERDON,NJ0101400
229,Mount Ephraim Police Department,CAMDEN,NJ0042500
230,Branchburg Township Police Department,SOMERSET,NJ0180500
231,Cranbury Township Police Department,MIDDLESEX,NJ0120200
232,Little Silver Police Department,MONMOUTH,NJ0132300
233,Monmouth County Sheriff's Office,MONMOUTH,NJ0130000
234,Stafford Township Police Department,OCEAN,NJ0153000
235,Woodbridge Township Police Department,MIDDLESEX,NJ0122500
236,West Deptford Township Police Department,GLOUCESTER,NJ0082000
237,Audubon Park Police Department,CAMDEN,NJ0040200
238,Prosecutor: Gloucester County,GLOUCESTER,NJ0088900
239,Bordentown Township Police Department,BURLINGTON,NJ0030400
240,North Hanover Township Police Department,BURLINGTON,NJ0032700
241,State Police: Warren County,WARREN,NJ021SP00
242,Neptune Township Police Department,MONMOUTH,NJ0133400
243,Randolph Township Police Department,MORRIS,NJ0143200
244,West Orange Police Department,ESSEX,NJ0072200
245,Hightstown Police Department,MERCER,NJ0110400
246,Winfield Township Police Department,UNION,NJ0202100
247,Wildwood Crest Police Department,CAPE MAY,NJ0051500
248,Leonia Police Department,BERGEN,NJ0022900
249,West Amwell Township Police Department,HUNTERDON,NJ0102600
250,Gloucester City Police Department,CAMDEN,NJ0041400
251,Woodlynne Police Department,CAMDEN,NJ0043700
252,"Monroe Township, Middlesex County Police Department",MIDDLESEX,NJ0121300
253,Cliffside Park Police Department,BERGEN,NJ0020600
254,Eatontown Police Department,MONMOUTH,NJ0131100
255,Pompton Lakes Police Department,PASSAIC,NJ0160900
256,Bridgeton Police Department,CUMBERLAND,NJ0060100
257,Egg Harbor Township Police Department,ATLANTIC,NJ0010800
258,Newton Police Department,SUSSEX,NJ0191500
259,Mountainside Police Department,UNION,NJ0201000
260,Maplewood Township Police Department,ESSEX,NJ0071100
261,Cape May Point Police Department,CAPE MAY,NJ0050300
262,Montville Township Police Department,MORRIS,NJ0142100
263,Fort Lee Police Department,BERGEN,NJ0021900
264,Holland Township Police Department,HUNTERDON,NJ0101500
265,Bridgewater Township Police Department,SOMERSET,NJ0180600
266,Oaklyn Police Department,CAMDEN,NJ0042600
267,Spotswood Police Department,MIDDLESEX,NJ0122400
268,Carteret Police Department,MIDDLESEX,NJ0120100
269,Keyport Police Department,MONMOUTH,NJ0132200
270,Barrington Police Department,CAMDEN,NJ0040300
271,Byram Township Police Department,SUSSEX,NJ0190400
272,State Police: Hudson County,HUDSON,NJ009SP00
273,"Hamilton Township, Mercer County Police Department",MERCER,NJ0110300
274,Burlington Police Department,BURLINGTON,NJ0030500
275,Monmouth Beach Police Department,MONMOUTH,NJ0133300
276,Brookdale Community College,MONMOUTH,NJ0135600
277,Palmyra Police Department,BURLINGTON,NJ0032800
278,West Caldwell Township Police Department,ESSEX,NJ0072100
279,Westfield Police Department,UNION,NJ0202000
280,Wildwood Police Department,CAPE MAY,NJ0051400
281,Pequannock Township Police Department,MORRIS,NJ0143100
282,Prosecutor: Union County,UNION,NJ0208900
283,Califon Police Department,HUNTERDON,NJ0100400
284,Gloucester Township Police Department,CAMDEN,NJ0041500
285,Milltown Police Department,MIDDLESEX,NJ0121200
286,Closter Police Department,BERGEN,NJ0020700
