,agency_name,county_name,ori
287,Somerville Police Department,SOMERSET,NJ0181800
288,Prosecutor: Morris County,MORRIS,NJ0148900
289,Deal Police Department,MONMOUTH,NJ0131000
290,Cumberland County Sheriff's Office,CUMBERLAND,NJ0060000
291,Teaneck Township Police Department,BERGEN,NJ0026000
292,Ogdensburg Police Department,SUSSEX,NJ0191600
293,Penns Grove Police Department,SALEM,NJ0170800
294,Shrewsbury Police Department,MONMOUTH,NJ0134500
295,Willingboro Township Police Department,BURLINGTON,NJ0031700
296,Mine Hill Township Police Department,MORRIS,NJ0142000
297,Livingston Township Police Department,ESSEX,NJ0071000
298,Port Authority of New York and New Jersey,N/A,NJNYPOA00
299,State Police: Ocean County,OCEAN,NJ015SP00
300,Cape May Police Department,CAPE MAY,NJ0050200
301,Alpha Police Department,WARREN,NJ0210200
302,Pennsauken Township Police Department,CAMDEN,NJ0042700
303,Long Branch Police Department,MONMOUTH,NJ0132500
304,Allentown Police Department,MONMOUTH,NJ0130200
305,Far Hills Police Department,SOMERSET,NJ0180700
306,East Brunswick Township Police Department,MIDDLESEX,NJ0120400
307,Tuckerton Police Department,OCEAN,NJ0153200
308,Bellmawr Police Department,CAMDEN,NJ0040400
309,Ridgefield Park Police Department,BERGEN,NJ0025000
310,Pemberton Police Department,BURLINGTON,NJ0032900
311,Burlington Township Police Department,BURLINGTON,NJ0030600
312,Rockaway Police Department,MORRIS,NJ0143400
313,Hopewell Township Police Department,MERCER,NJ0110600
314,Tinton Falls Police Department,MONMOUTH,NJ0133600
315,Prosecutor: Essex County,ESSEX,NJ0078900
316,Florham Park Police Department,MORRIS,NJ0141100
317,Verona Police Department,ESSEX,NJ0072000
318,West Wildwood Police Department,CAPE MAY,NJ0051300
319,Elizabeth Police Department,UNION,NJ0200400
320,Haddon Township Police Department,CAMDEN,NJ0041600
321,Cresskill Police Department,BERGEN,NJ0020800
322,South Bound Brook Police Department,SOMERSET,NJ0181900
323,Fair Haven Police Department,MONMOUTH,NJ0131300
324,Rutgers University: Camden,CAMDEN,NJ0043900
325,North Brunswick Township Police Department,MIDDLESEX,NJ0121500
326,Flemington Police Department,HUNTERDON,NJ0100900
327,Ocean Gate Police Department,OCEAN,NJ0152100
328,Tenafly Police Department,BERGEN,NJ0026100
329,Lumberton Township Police Department,BURLINGTON,NJ0031800
330,Morris Plains Police Department,MORRIS,NJ0142300
331,Division of Fish and Wildlife,N/A,NJ0111700
332,New Jersey Transit Police,N/A,NJ0073200
333,Spring Lake Police Department,MONMOUTH,NJ0134800
334,Morris County Sheriff's Office,MORRIS,NJ0140000
335,Scotch Plains Township Police Department,UNION,NJ0201600
336,Avalon Police Department,CAPE MAY,NJ0050100
337,"Franklin Township, Somerset County Police Department",SOMERSET,NJ0180800
338,Pine Hill Police Department,CAMDEN,NJ0042800
339,Loch Arbour Police Department,MONMOUTH,NJ0132400
340,Middlesex County College,MIDDLESEX,NJ0122600
341,Dunellen Police Department,MIDDLESEX,NJ0120300
342,Allenhurst Police Department,MONMOUTH,NJ0130100
343,Surf City Police Department,OCEAN,NJ0153100
344,Berlin Police Department,CAMDEN,NJ0040500
345,Millville Police Department,CUMBERLAND,NJ0061000
346,Ridgewood Police Department,BERGEN,NJ0025100
347,State Police: Atlantic County,ATLANTIC,NJ001SP00
348,Franklin Police Department,SUSSEX,NJ0190600
349,Chesterfield Township Police Department,BURLINGTON,NJ0030700
350,Neptune City Police Department,MONMOUTH,NJ0133500
351,Riverdale Police Department,MORRIS,NJ0143300
352,State Police: Gloucester County,GLOUCESTER,NJ008SP00
353,East Hanover Township Police Department,MORRIS,NJ0141000
354,Hopewell Police Department,MERCER,NJ0110500
355,Cranford Township Police Department,UNION,NJ0200300
356,West Cape May Police Department,CAPE MAY,NJ0051200
357,Demarest Police Department,BERGEN,NJ0020900
358,Haddonfield Police Department,CAMDEN,NJ0041700
359,Park Police: Union County,UNION,NJ0209100
360,Prosecutor: Ocean County,OCEAN,NJ0158900
361,Englishtown Police Department,MONMOUTH,NJ0131200
362,New Brunswick Police Department,MIDDLESEX,NJ0121400
363,Teterboro Police Department,BERGEN,NJ0026200
364,"Ocean Township, Ocean County Police Department",OCEAN,NJ0152000
365,State Police: Passaic County,PASSAIC,NJ016SP00
366,Sparta Township Police Department,SUSSEX,NJ0191800
367,"Mansfield Township, Burlington County Police Department",BURLINGTON,NJ0031900
368,Secaucus Police Department,HUDSON,NJ0090900
369,Lake Como Police Department,MONMOUTH,NJ0134700
370,Morris Township Police Department,MORRIS,NJ0142200
371,Essex County College,ESSEX,NJ0073100
372,Cape May County Sheriff's Office,CAPE MAY,NJ0050000
373,Roselle Park Police Department,UNION,NJ0201500
374,Green Brook Township Police Department,SOMERSET,NJ0180900
375,Jackson Township Police Department,OCEAN,NJ0151100
376,Warren County Sheriff's Office,WARREN,NJ0210000
377,Manasquan Police Department,MONMOUTH,NJ0132700
378,Colts Neck Township Police Department,MONMOUTH,NJ0130400
379,Pine Valley Police Department,CAMDEN,NJ0042900
380,Berlin Township Police Department,CAMDEN,NJ0040600
381,Helmetta Police Department,MIDDLESEX,NJ0120600
382,River Edge Police Department,BERGEN,NJ0025200
383,Roxbury Township Police Department,MORRIS,NJ0143600
384,Harding Township Police Department,MORRIS,NJ0141300
385,Prosecutor: Passaic County,PASSAIC,NJ0168900
386,Cinnaminson Township Police Department,BURLINGTON,NJ0030800
387,Oceanport Police Department,MONMOUTH,NJ0133800
388,Clark Township Police Department,UNION,NJ0200200
389,Pennington Police Department,MERCER,NJ0110800
390,Plumsted Township Police Department,OCEAN,NJ0152300
391,Ocean County Sheriff's Office,OCEAN,NJ0150000
392,Independence Township Police Department,WARREN,NJ0211200
393,Freehold Police Department,MONMOUTH,NJ0131500
394,Haddon Heights Police Department,CAMDEN,NJ0041800
395,Delanco Township Police Department,BURLINGTON,NJ0030900
396,Piscataway Township Police Department,MIDDLESEX,NJ0121700
397,State Police: Essex County,ESSEX,NJ007SP00
398,Prosecutor: Cumberland County,CUMBERLAND,NJ0068900
399,Upper Saddle River Police Department,BERGEN,NJ0026300
400,Delaware Township Police Department,HUNTERDON,NJ0100700
401,Northvale Police Department,BERGEN,NJ0024000
402,Boonton Township Police Department,MORRIS,NJ0140200
403,Stanhope Police Department,SUSSEX,NJ0191900
404,Mountain Lakes Police Department,MORRIS,NJ0142500
405,North Bergen Township Police Department,HUDSON,NJ0090800
406,Rutgers University: Newark,ESSEX,NJ0073000
407,Roselle Police Department,UNION,NJ0201400
408,Department of Human Services,MERCER,NJ0111900
409,Barnegat Township Police Department,OCEAN,NJ0153300
410,Manalapan Township Police Department,MONMOUTH,NJ0132600
411,Asbury Park Police Department,MONMOUTH,NJ0130300
412,Brooklawn Police Department,CAMDEN,NJ0040700
413,River Vale Township Police Department,BERGEN,NJ0025300
414,Edison Township Police Department,MIDDLESEX,NJ0120500
415,"Washington Township, Warren County Police Department",WARREN,NJ0212200
416,Island Heights Police Department,OCEAN,NJ0151000
417,Little Ferry Police Department,BERGEN,NJ0023000
418,Lebanon Township Police Department,HUNTERDON,NJ0101900
419,State Police: Salem County,SALEM,NJ017SP00
420,Hanover Township Police Department,MORRIS,NJ0141200
421,Rockaway Township Police Department,MORRIS,NJ0143500
422,Hi-Nella Police Department,CAMDEN,NJ0041900
423,"Lawrence Township, Mercer County Police Department",MERCER,NJ0110700
424,Berkeley Heights Township Police Department,UNION,NJ0200100
425,"Ocean Township, Monmouth County Police Department",MONMOUTH,NJ0133700
426,Kean University,UNION,NJ0202400
427,Stone Harbor Police Department,CAPE MAY,NJ0051000
428,Pine Beach Police Department,OCEAN,NJ0152200
429,Prosecutor: Atlantic County,ATLANTIC,NJ0018900
430,Newark Police Department,ESSEX,NJNPD0000
431,Waldwick Police Department,BERGEN,NJ0026400
432,Perth Amboy Police Department,MIDDLESEX,NJ0121600
433,Norwood Police Department,BERGEN,NJ0024100
434,Morristown Police Department,MORRIS,NJ0142400
435,Boonton Police Department,MORRIS,NJ0140100
436,Logan Township Police Department,GLOUCESTER,NJ0080900
437,Camden County Police Department,CAMDEN,NJ0040800
438,The College of New Jersey,MERCER,NJ0111800
439,Kearny Police Department,HUDSON,NJ0090700
440,Spring Lake Heights Police Department,MONMOUTH,NJ0134900
441,Rahway Police Department,UNION,NJ0201300
442,State Police: Bergen County,BERGEN,NJ002SP00
443,Prosecutor: Salem County,SALEM,NJ0178900
444,Lakehurst Police Department,OCEAN,NJ0151300
445,Matawan Police Department,MONMOUTH,NJ0132900
446,Avon-by-the-Sea Police Department,MONMOUTH,NJ0130600
447,Rochelle Park Township Police Department,BERGEN,NJ0025400
448,Lodi Police Department,BERGEN,NJ0023100
449,Jamesburg Police Department,MIDDLESEX,NJ0120800
450,"Washington Township, Morris County Police Department",MORRIS,NJ0143800
451,Kenilworth Police Department,UNION,NJ0200800
452,Wenonah Police Department,GLOUCESTER,NJ0081900
453,Hamburg Police Department,SUSSEX,NJ0190900
454,Kinnelon Police Department,MORRIS,NJ0141500
455,Park Police: Morris County,MORRIS,NJ0149100
456,Point Pleasant Beach Police Department,OCEAN,NJ0152500
457,Bay Head Police Department,OCEAN,NJ0150200
458,Highlands Police Department,MONMOUTH,NJ0131700
459,Oakland Police Department,BERGEN,NJ0024200
460,Wallington Police Department,BERGEN,NJ0026500
461,Sayreville Police Department,MIDDLESEX,NJ0121900
462,Prosecutor: Hunterdon County,HUNTERDON,NJ0108900
463,Prospect Park Police Department,PASSAIC,NJ0161000
464,Mount Olive Township Police Department,MORRIS,NJ0142700
465,State Police: Cumberland County,CUMBERLAND,NJ006SP00
466,Prosecutor: Cape May County,CAPE MAY,NJ0058900
467,State Police: Hunterdon County,HUNTERDON,NJ010SP00
468,Harrison Township Police Department,GLOUCESTER,NJ0080800
469,Chesilhurst Police Department,CAMDEN,NJ0040900
470,Chatham Police Department,MORRIS,NJ0140400
471,Somers Point Police Department,ATLANTIC,NJ0012100
472,Jersey City Police Department,HUDSON,NJ0090600
473,Lacey Township Police Department,OCEAN,NJ0151200
474,Marlboro Township Police Department,MONMOUTH,NJ0132800
475,Atlantic Highlands Police Department,MONMOUTH,NJ0130500
476,Rockleigh Police Department,BERGEN,NJ0025500
477,Lyndhurst Township Police Department,BERGEN,NJ0023200
478,Highland Park Police Department,MIDDLESEX,NJ0120700
479,State Police: Somerset County,SOMERSET,NJ018SP00
480,Hillside Township Police Department,UNION,NJ0200700
481,Passaic County Sheriff's Office,PASSAIC,NJ0160000
482,"Washington Township, Gloucester County Police Department",GLOUCESTER,NJ0081800
483,Jefferson Township Police Department,MORRIS,NJ0141400
484,Galloway Township Police Department,ATLANTIC,NJ0011100
485,Hazlet Township Police Department,MONMOUTH,NJ0133900
486,Point Pleasant Police Department,OCEAN,NJ0152400
487,Barnegat Light Police Department,OCEAN,NJ0150100
488,Freehold Township Police Department,MONMOUTH,NJ0131600
489,Irvington Police Department,ESSEX,NJ0070900
490,Raritan Township Police Department,HUNTERDON,NJ0102100
491,Prosecutor: Bergen County,BERGEN,NJ0028900
492,"Washington Township, Bergen County Police Department",BERGEN,NJ0026600
493,Old Tappan Police Department,BERGEN,NJ0024300
494,Franklin Lakes Police Department,BERGEN,NJ0022000
495,Princeton University,MERCER,NJ0115000
496,Plainsboro Township Police Department,MIDDLESEX,NJ0121800
497,Oxford Township Police Department,WARREN,NJ0211700
498,State Police: Burlington County,BURLINGTON,NJ003SP00
499,Ringwood Police Department,PASSAIC,NJ0161100
500,Union Township Police Department,UNION,NJ0201900
501,"Greenwich Township, Gloucester County Police Department",GLOUCESTER,NJ0080700
502,Mount Arlington Police Department,MORRIS,NJ0142600
503,Butler Police Department,MORRIS,NJ0140300
504,Ventnor City Police Department,ATLANTIC,NJ0012200
505,Hoboken Police Department,HUDSON,NJ0090500
506,Pemberton Township Police Department,BURLINGTON,NJ0033000
507,Blairstown Township Police Department,WARREN,NJ0210400
508,Bradley Beach Police Department,MONMOUTH,NJ0130800
509,State Police: Cape May County,CAPE MAY,NJ005SP00
510,South Orange Police Department,ESSEX,NJ0071900
511,Lavallette Police Department,OCEAN,NJ0151500
512,Rutherford Police Department,BERGEN,NJ0025600
513,Dumont Police Department,BERGEN,NJ0021000
514,Mahwah Township Police Department,BERGEN,NJ0023300
515,Madison Police Department,MORRIS,NJ0141700
516,Garwood Police Department,UNION,NJ0200600
517,Bloomingdale Police Department,PASSAIC,NJ0160100
518,Swedesboro Police Department,GLOUCESTER,NJ0081700
519,"Hamilton Township, Atlantic County Police Department",ATLANTIC,NJ0011200
520,Howell Township Police Department,MONMOUTH,NJ0131900
521,Glen Ridge Police Department,ESSEX,NJ0070800
522,State Police: Mercer County,MERCER,NJ011SP00
523,Seaside Park Police Department,OCEAN,NJ0152700
524,Beachwood Police Department,OCEAN,NJ0150400
525,Westwood Police Department,BERGEN,NJ0026700
526,Garfield Police Department,BERGEN,NJ0022100
527,Oradell Police Department,BERGEN,NJ0024400
528,"Mansfield Township, Warren County Police Department",WARREN,NJ0211600
529,Summit Police Department,UNION,NJ0201800
530,Chester Police Department,MORRIS,NJ0140600
531,Glassboro Police Department,GLOUCESTER,NJ0080600
532,Totowa Police Department,PASSAIC,NJ0161200
533,Parsippany-Troy Hills Township Police Department,MORRIS,NJ0142900
534,Prosecutor: Somerset County,SOMERSET,NJ0188900
535,Atlantic County Sheriff's Office,ATLANTIC,NJ0010000
536,Warren Township Police Department,SOMERSET,NJ0182000
537,Riverside Township Police Department,BURLINGTON,NJ0033100
538,Harrison Police Department,HUDSON,NJ0090400
539,Lakewood Township Police Department,OCEAN,NJ0151400
540,Roseland Police Department,ESSEX,NJ0071800
541,Belvidere Police Department,WARREN,NJ0210300
542,East Newark Police Department,HUDSON,NJ0090200
543,Belmar Police Department,MONMOUTH,NJ0130700
544,Saddle Brook Township Police Department,BERGEN,NJ0025700
545,Maywood Police Department,BERGEN,NJ0023400
546,Elmwood Park Police Department,BERGEN,NJ0021100
547,Salem County Sheriff's Office,SALEM,NJ0170000
548,Old Bridge Township Police Department,MIDDLESEX,NJ0120900
549,Lincoln Park Police Department,MORRIS,NJ0141600
550,South Harrison Township Police Department,GLOUCESTER,NJ0081600
551,Clifton Police Department,PASSAIC,NJ0160200
552,Wharton Police Department,MORRIS,NJ0143900
553,Prosecutor: Burlington County,BURLINGTON,NJ0038900
554,Hammonton Police Department,ATLANTIC,NJ0011300
555,Fanwood Police Department,UNION,NJ0200500
556,Maple Shade Township Police Department,BURLINGTON,NJ0032000
557,Lopatcong Township Police Department,WARREN,NJ0211500
558,Essex Fells Police Department,ESSEX,NJ0070700
559,Beach Haven Police Department,OCEAN,NJ0150300
560,Holmdel Township Police Department,MONMOUTH,NJ0131800
561,Woodcliff Lake Police Department,BERGEN,NJ0026800
562,Seaside Heights Police Department,OCEAN,NJ0152600
563,Palisades Park Police Department,BERGEN,NJ0024500
564,Glen Rock Police Department,BERGEN,NJ0022200
565,Runnemede Police Department,CAMDEN,NJ0043000
566,Netcong Police Department,MORRIS,NJ0142800
567,Chatham Township Police Department,MORRIS,NJ0140500
568,Springfield Police Department,UNION,NJ0201700
569,"Franklin Township, Gloucester County Police Department",GLOUCESTER,NJ0080500
570,Wanaque Police Department,PASSAIC,NJ0161300
571,Stockton University,ATLANTIC,NJ0012400
572,Absecon Police Department,ATLANTIC,NJ0010100
573,Riverton Police Department,BURLINGTON,NJ0033200
574,Guttenberg Police Department,HUDSON,NJ0090300
575,Watchung Police Department,SOMERSET,NJ0182100
